date,time,phase,trust_score,judge_status
2026-06-27,2026-06-27T15:41:02.160313,pre,0.5,偏低
2026-06-27,2026-06-27T16:45:55.795669,pre,0.5,偏低
2026-06-27,2026-06-27T17:09:06.075173,pre,0.5,偏低
2026-06-27,2026-06-27T17:27:25.394707,pre,0.5,偏低
2026-06-27,2026-06-27T17:42:18.166760,intraday_a,0.76,正常
2026-06-27,2026-06-27T18:47:25.320728,pre,0.475,需谨慎
2026-06-27,2026-06-27T19:13:54.019799,intraday_b,0.5,偏低
2026-06-27,2026-06-27T19:29:36.330530,intraday_b,0.5,偏低
2026-06-27,2026-06-27T19:39:11.594426,night,0.45,需谨慎
2026-06-27,2026-06-27T19:51:20.183447,intraday_a,0.5,偏低
2026-06-27,2026-06-27T19:56:11.702651,night,0.45,需谨慎
2026-06-27,2026-06-27T20:00:32.844464,pre,0.475,需谨慎
2026-06-27,2026-06-27T20:16:24.810143,post,0.5,偏低
2026-06-27,2026-06-27T20:29:24.731653,post,0.5,偏低
2026-06-27,2026-06-27T20:33:50.755691,intraday_b,0.5,偏低
2026-06-27,2026-06-27T20:47:47.745323,intraday_b,0.5,偏低
